JeinPoLiEnergySavingLampsBad,v_val,i_val,p_val,pf_val,date
JeinPoLiEnergySavingLampsBad,115.5,0.252,18,0.644,1531662965
JeinPoLiEnergySavingLampsBad,115.400002,0.252,18,0.644,1531662967
JeinPoLiEnergySavingLampsBad,114.900002,0.253,18,0.643,1531662969
JeinPoLiEnergySavingLampsBad,115.199997,0.253,18,0.641,1531662971
JeinPoLiEnergySavingLampsBad,115.800003,0.255,18,0.634,1531662972
JeinPoLiEnergySavingLampsBad,115.300003,0.254,18,0.64,1531662974
JeinPoLiEnergySavingLampsBad,115.099998,0.255,18,0.638,1531662976
JeinPoLiEnergySavingLampsBad,115.300003,0.252,18,0.646,1531662978
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.656,1531662979
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.654,1531662981
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.652,1531662983
JeinPoLiEnergySavingLampsBad,114.900002,0.251,18,0.648,1531662985
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.655,1531662987
JeinPoLiEnergySavingLampsBad,114.5,0.25,18,0.654,1531662988
JeinPoLiEnergySavingLampsBad,114.699997,0.251,18,0.65,1531662990
JeinPoLiEnergySavingLampsBad,115.5,0.248,18,0.652,1531662992
JeinPoLiEnergySavingLampsBad,115.900002,0.248,18,0.651,1531662994
JeinPoLiEnergySavingLampsBad,116,0.247,18,0.65,1531662996
JeinPoLiEnergySavingLampsBad,115.900002,0.249,18,0.644,1531662998
JeinPoLiEnergySavingLampsBad,115.900002,0.25,18,0.642,1531662999
JeinPoLiEnergySavingLampsBad,115.900002,0.251,18,0.637,1531663001
JeinPoLiEnergySavingLampsBad,115.800003,0.251,18,0.639,1531663003
JeinPoLiEnergySavingLampsBad,115.400002,0.247,18,0.653,1531663005
JeinPoLiEnergySavingLampsBad,114.699997,0.249,18,0.654,1531663007
JeinPoLiEnergySavingLampsBad,114.5,0.248,18,0.653,1531663009
JeinPoLiEnergySavingLampsBad,115,0.248,18,0.652,1531663010
JeinPoLiEnergySavingLampsBad,114.699997,0.254,18,0.636,1531663012
JeinPoLiEnergySavingLampsBad,115.199997,0.253,18,0.639,1531663014
JeinPoLiEnergySavingLampsBad,114.900002,0.249,18,0.651,1531663016
JeinPoLiEnergySavingLampsBad,115.400002,0.248,18,0.65,1531663017
